Neighbourhood,Latitude,Longitude,Hospital_Count,Mean_hospital_rating,Doctor_Count,Mean_doctor_rating,Dentist_Count,Mean_dentist_rating,Pharmacy_Count,Mean_pharmacy_rating,Physiotherapist_Count,Mean_physiotherapist_rating
Agol,23.027760000000058,72.60027000000008,33,4.4750000000000005,45,4.7124999999999995,12,4.8125,39,4.420833333333333,0,0.0
Ahmedabad Cantonment,23.027760000000058,72.60027000000008,33,4.4750000000000005,45,4.7124999999999995,12,4.8125,39,4.420833333333333,0,0.0
Alam Roza,23.002120000000048,72.54979000000003,60,4.48918918918919,60,4.169444444444444,32,4.942857142857143,60,4.3516129032258055,10,4.76
Ambawadi,23.018850000000043,72.55441000000008,60,4.578571428571429,60,4.369767441860464,56,4.493548387096775,60,4.405714285714287,10,4.542857142857143
Amraiwadi,23.00735000000003,72.62268000000006,47,4.144444444444444,27,4.607692307692307,16,4.655555555555555,40,3.9681818181818183,3,4.95
Anand Nagar (Ahmedabad),23.011390000000063,72.51712000000003,60,4.568181818181819,60,4.548717948717949,60,4.7804878048780495,60,4.253488372093023,8,4.94
Asarwa,23.04708000000005,72.60481000000004,60,4.34047619047619,44,4.666666666666668,9,4.275,55,4.310714285714285,2,5.0
Asarwa Chakla,23.04225742945364,72.60456625728018,60,4.294444444444444,36,4.807142857142858,5,4.4,37,4.227777777777778,1,
Badarkha,22.84128000000004,72.45453000000003,0,0.0,0,0.0,0,0.0,1,5.0,0,0.0
Bahiyal,23.027760000000058,72.60027000000008,33,4.4750000000000005,45,4.7124999999999995,12,4.8125,39,4.420833333333333,0,0.0
Bapunagar,23.034760000000063,72.63024000000007,60,4.110810810810811,60,4.405714285714286,21,4.521428571428571,60,4.475757575757576,5,4.7
Bareja (area),22.85570000000007,72.59490000000005,17,4.672727272727273,1,1.0,2,3.0,3,4.75,0,0.0
Behrampura,23.00278000000003,72.57706000000007,43,4.118181818181818,14,4.942857142857143,2,4.4,20,4.257142857142857,0,0.0
Bhadiad,22.315900000000056,72.10697000000005,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bhairavnath Road,23.002575410797863,72.59815911107509,60,4.2295454545454545,60,4.2749999999999995,37,4.589655172413794,60,4.463888888888889,8,4.75
Bhojva,23.159320000000037,72.01855000000006,1,,0,0.0,0,0.0,0,0.0,0,0.0
Bopal,23.030320000000074,72.47247000000004,60,4.564814814814816,60,4.5583333333333345,34,4.6074074074074085,39,4.277272727272727,3,3.6333333333333333
Calico Mills (area),23.000980000000027,72.57459000000006,37,3.97,5,4.95,1,4.0,18,3.9384615384615387,0,0.0
Chaloda,22.806890000000067,72.42511000000007,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Chandkheda,23.112140000000068,72.57989000000003,60,4.26304347826087,33,4.4192307692307695,27,4.699999999999999,50,3.933333333333333,10,5.0
Chandlodiya,23.087290000000053,72.54899000000006,45,4.5810810810810825,43,4.6433333333333335,25,4.83,27,4.368421052631578,7,4.9
Dabhoda,23.027760000000058,72.60027000000008,33,4.4750000000000005,45,4.7124999999999995,12,4.8125,39,4.420833333333333,0,0.0
Dariapur (Ahmedabad),23.036070000000052,72.59213000000005,60,4.216129032258064,57,4.610526315789474,13,4.377777777777777,60,3.825925925925926,0,0.0
Detroj,23.32218000000006,72.18817000000007,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ellis bridge (area),23.022390333701104,72.57669435394357,60,4.263636363636363,60,4.252631578947368,17,4.029999999999999,60,4.352777777777778,8,4.1499999999999995
Ghatlodiya,23.072750000000042,72.54964000000007,60,4.699999999999999,60,4.526190476190475,35,4.679166666666666,39,4.318518518518518,9,4.866666666666666
Ghodasar,22.974030000000027,72.61170000000004,51,4.518421052631578,38,4.6863636363636365,23,4.905555555555556,46,4.4,3,4.966666666666667
Girdharnagar,23.050070000000062,72.59831000000008,60,4.293750000000001,60,4.551428571428572,26,4.594736842105264,60,4.250000000000001,3,5.0
Gita Mandir Road,23.006018549998913,72.59080240924992,60,4.058064516129032,60,4.3100000000000005,16,4.783333333333333,31,4.458823529411765,2,4.8
Godhavi,23.028490000000033,72.40776000000005,1,,3,5.0,0,0.0,1,,0,0.0
Gomtipur,23.01597000000004,72.61082000000005,31,3.744444444444445,9,4.666666666666667,2,5.0,21,4.178571428571429,0,0.0
"Gota, Gujarat",23.101730000000032,72.53900000000004,23,4.793333333333334,15,4.845454545454545,14,4.928571428571429,23,4.229411764705882,5,4.16
Isanpur,22.971370000000036,72.59743000000003,48,4.058620689655172,32,4.155555555555556,9,4.8,24,4.055555555555555,2,5.0
"Jamalpur, Gujarat",23.012650000000065,72.58458000000007,60,4.204,53,4.358620689655172,9,4.7749999999999995,39,3.9875000000000003,1,5.0
Jawahar Chowk,23.08952000000005,72.58551000000006,60,4.623529411764706,36,4.576190476190477,11,4.918181818181818,26,4.6000000000000005,3,4.800000000000001
Jholapur,23.027760000000058,72.60027000000008,33,4.4750000000000005,45,4.7124999999999995,12,4.8125,39,4.420833333333333,0,0.0
Jivrajpark,23.00534000760193,72.52727000626143,60,4.319444444444445,60,4.312500000000002,30,4.657142857142857,55,4.413888888888888,4,4.825
"Jodhpur, Gujarat",23.02063000000004,72.52522000000005,60,4.451063829787234,60,4.651020408163265,60,4.806382978723405,60,4.121428571428572,11,4.814285714285714
Juhapura,22.998620000000074,72.52433000000008,60,4.4,43,4.390322580645161,19,4.358333333333333,55,4.441666666666666,1,
Kabirchowk,23.090257452746588,72.58551179799491,60,4.6117647058823525,40,4.44,12,4.925,27,4.6000000000000005,3,4.800000000000001
Kalupur,23.02825000000007,72.59372000000008,60,4.331034482758621,60,4.671428571428571,15,4.654545454545455,60,3.851612903225806,2,5.0
Kalyanpura (Ahmedabad),23.04197998859081,72.59003998366651,53,4.340000000000001,22,4.7250000000000005,11,4.0625,29,4.2785714285714285,0,0.0
"Khadia, Ahmedabad",23.020770000000027,72.59244000000007,60,4.153571428571429,60,4.193103448275862,15,4.575,60,4.2629629629629635,0,0.0
Kharna,23.027760000000058,72.60027000000008,33,4.4750000000000005,45,4.7124999999999995,12,4.8125,39,4.420833333333333,0,0.0
Khodiyarnagar,23.034350000000074,72.64652000000007,60,4.233333333333333,35,4.448148148148148,26,4.769230769230769,60,4.414285714285715,3,4.85
Khokhra,23.00580959394864,72.61333409499983,60,4.105263157894737,52,4.624137931034483,19,4.4,42,4.45,5,4.65
Lambha,22.93802000000005,72.58586000000008,3,,0,0.0,0,0.0,2,3.25,0,0.0
Makarba,22.996920000000046,72.49837000000008,3,5.0,9,4.76,2,4.5,4,5.0,2,4.85
Maninagar,23.005260000000078,72.60731000000004,60,4.225490196078432,60,4.490243902439025,28,4.347619047619048,60,4.391428571428572,8,4.675
Memnagar,23.05610000000007,72.53034000000008,60,4.422222222222223,60,4.410638297872341,60,4.783333333333333,60,4.155555555555556,13,4.699999999999999
Mithakali,23.02851000000004,72.56525000000005,60,3.9677419354838714,60,4.5095238095238095,41,4.472222222222222,60,3.8724137931034477,8,3.75
Motera,23.10319000000004,72.60513000000003,23,4.436842105263158,14,4.5,25,4.827777777777778,23,4.152941176470588,2,4.95
Naranpura,23.055060000000026,72.55557000000005,60,4.364102564102564,60,4.4393939393939394,60,4.583333333333333,60,4.045454545454546,8,4.785714285714286
Naroda,23.072930000000042,72.65378000000004,60,4.170454545454546,24,4.514285714285715,15,4.736363636363636,43,4.128571428571428,5,5.0
Nava Vadaj,23.06024000000008,72.56671000000006,60,4.292682926829268,60,4.573333333333333,46,4.852941176470587,60,4.222857142857143,5,4.74
Navarangpura,23.071100000000058,72.72860000000003,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Navjivan (Neighbourhood),23.044130000000052,72.56883000000005,60,4.1725,60,4.488235294117647,52,4.742857142857143,60,4.142307692307693,4,4.8999999999999995
Odhav,23.02825000000007,72.67611000000005,20,3.816666666666667,15,4.136363636363637,4,4.875,19,4.042857142857143,0,0.0
Paldi,23.013180000000034,72.57148000000007,60,4.560526315789473,60,4.24423076923077,22,4.6000000000000005,60,4.2727272727272725,6,3.94
Polarpur,23.027760000000058,72.60027000000008,33,4.4750000000000005,45,4.7124999999999995,12,4.8125,39,4.420833333333333,0,0.0
Rajpur Gomtipur,23.014650000000074,72.61543000000006,41,3.8440000000000003,13,4.75,2,5.0,24,4.15625,0,0.0
Ramol,22.982120000000066,72.66305000000006,6,5.0,1,5.0,0,0.0,10,4.583333333333333,1,5.0
Ranip,23.075110000000052,72.57839000000007,35,4.345454545454545,16,4.966666666666667,10,4.8,14,3.8615384615384616,2,5.0
Sabarmati (area),23.08952000000005,72.58551000000006,60,4.623529411764706,36,4.576190476190477,11,4.918181818181818,26,4.6000000000000005,3,4.800000000000001
Saraspur,23.030640000000062,72.60914000000008,46,4.248,18,4.681818181818182,6,4.0,34,4.022222222222222,0,0.0
Sardarnagar,23.08104000000003,72.62806000000006,16,4.121428571428571,12,4.3500000000000005,6,4.0,15,4.62,2,4.6
Sarkhej,22.98058000000003,72.49398000000008,30,3.833333333333333,12,4.433333333333334,4,4.8,18,4.1,0,0.0
Shahibaug,23.057470000000023,72.59548000000007,60,4.225581395348839,60,4.41875,25,4.5600000000000005,49,4.336363636363637,3,4.95
"Shahpur, Gujarat",23.035700000000077,72.58116000000007,60,4.438709677419355,55,4.800000000000001,12,4.29,60,4.028124999999999,1,
Shardanagar,23.010730000000024,72.55525000000006,60,4.333333333333333,60,4.339024390243902,60,4.643589743589743,60,4.148148148148148,14,4.762499999999999
Shastrinagar,23.011210000000062,72.63556000000005,60,4.32,17,3.8599999999999994,10,5.0,25,3.658823529411765,4,3.5
Subhash Bridge,23.059423674819552,72.58678810329893,31,4.163157894736842,60,4.341379310344828,6,5.0,18,4.8999999999999995,0,0.0
Sukhrampura,27.072610000000054,75.69372000000004,0,0.0,1,,0,0.0,2,3.5,0,0.0
Thakkar Bapanagar,23.045370000000048,72.64864000000006,60,4.326190476190476,31,4.515,28,,60,4.351612903225806,1,
Thaltej,23.050110000000075,72.51108000000005,43,4.32962962962963,34,4.747999999999999,16,4.955555555555556,25,3.827777777777778,2,4.9
Ujedia,23.027760000000058,72.60027000000008,33,4.4750000000000005,45,4.7124999999999995,12,4.8125,39,4.420833333333333,0,0.0
Usmanpura,23.049810000000036,72.57120000000003,60,4.407500000000001,60,4.532352941176471,27,4.905,33,4.21875,2,4.85
Vastral,23.002380000000073,72.65865000000008,60,4.153488372093023,17,4.516666666666667,26,4.633333333333333,35,4.303703703703703,8,4.883333333333333
Vastrapur,23.03717000000006,72.53085000000004,60,4.426315789473685,60,4.63939393939394,45,4.7441176470588236,54,4.1421052631578945,9,4.966666666666667
Vejalpur,23.007820000000038,72.51818000000003,60,4.274418604651163,60,4.502702702702703,54,4.723529411764707,55,4.2552631578947375,8,4.9399999999999995
Virochannagar,23.093770000000063,72.22700000000003,3,,0,0.0,0,0.0,0,0.0,0,0.0
